Constructor;Family;Type;Bearing;Model;Voltage;RPM;CFM;Noise;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-5F;24;6500;2.5;21;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-5F;24;8000;2.92;28;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-5F;24;10000;3.83;32;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-5F;24;12000;4.1;35;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-5F;24;16000;5.04;45;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-5F;12;6500;2.5;21;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-5F;12;7000;2.3;24;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-5F;12;8000;2.92;28;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-5F;12;9000;3.46;30;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-5F;12;10000;3.5;32;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-5F;12;12000;4.1;35;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-5F;12;14000;4.55;39;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-5F;12;16000;5.04;45;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-5F;12;18000;5.9;48;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-5F;12;20000;6.24;52;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-7F;24;7500;2.95;25;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-7F;24;9000;3.65;28;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-7F;24;10000;4.05;30;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-7F;12;6000;2.4;22.5;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-7F;12;7000;2.6;24;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-7F;12;8000;3.36;26;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-7F;12;9000;3.65;28;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-7F;12;10000;4.05;30;
GDStime;Axial fan;3010;Sleeve / ball;GDA3010-7F;12;12000;4.7;35;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-7F;24;5500;5.18;28;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-7F;24;7500;6.85;36;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-7F;24;8500;7.49;38.4;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-7F;24;9500;7.6;41.5;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-7F;24;12000;9.7;47;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-7F;12;4500;4.2;24;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-7F;12;5500;5.18;28;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-7F;12;6500;5.62;31.7;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-7F;12;7500;6.85;36;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-7F;12;8000;6.92;37.2;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-7F;12;10000;7.95;43;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-7F;12;15000;12;50;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-9F;24;5500;5.42;25.8;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-9F;24;7500;7.3;35;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-9F;24;8500;8.24;37;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-9F;24;9500;9.12;40;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-9F;24;12000;11.2;42;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-9F;12;4500;4.48;23.9;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-9F;12;5500;5.42;25.8;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-9F;12;6500;6.38;31;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-9F;12;7500;7.3;35;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-9F;12;8000;8.04;36;
GDStime;Axial fan;4010;Sleeve / ball;GDA4010-9F;12;10000;9.74;40.8;
GDStime;Blower fan;3010;Sleeve / ball;GDB3010;24;11000;1.78;36;
GDStime;Blower fan;3010;Sleeve / ball;GDB3010;24;9500;1.65;33.5;
GDStime;Blower fan;3010;Sleeve / ball;GDB3010;12;12000;1.92;37;
GDStime;Blower fan;3010;Sleeve / ball;GDB3010;12;10500;1.74;35;
GDStime;Blower fan;3010;Sleeve / ball;GDB3010;12;9500;1.65;33.5;
GDStime;Blower fan;3010;Sleeve / ball;GDB3010;12;8500;1.56;31.7;
GDStime;Blower fan;3010;Sleeve / ball;GDB3010;12;7500;1.45;28.5;
GDStime;Blower fan;3010;Sleeve / ball;GDB3010;12;6500;1.24;26;
GDStime;Blower fan;3010;Sleeve / ball;GDB3010;12;5500;1.06;22.8;
GDStime;Blower fan;3010;Sleeve / ball;GDB4010;12;5500;1.65;24.6;
GDStime;Blower fan;3010;Sleeve / ball;GDB4010;12;6500;2.08;27.5;
GDStime;Blower fan;3010;Sleeve / ball;GDB4010;12;7500;2.64;30;
GDStime;Blower fan;3010;Sleeve / ball;GDB4010;12;8500;2.82;33;
GDStime;Blower fan;3010;Sleeve / ball;GDB4010;12;9500;3.08;35;
GDStime;Blower fan;3010;Sleeve / ball;GDB4010;12;10000;3.35;35.8;
GDStime;Blower fan;3010;Sleeve / ball;GDB4010;24;7500;2.64;30;
GDStime;Blower fan;3010;Sleeve / ball;GDB4010;24;8500;2.82;33;
GDStime;Blower fan;3010;Sleeve / ball;GDB4010;24;9500;3.08;35;
GDStime;Blower fan;3010;Sleeve / ball;GDB4010;24;11000;3.42;36;
Sunon;Axial fan;3010;Vapo;MF30101V1;12;11500;5.5;23;
Sunon;Axial fan;3010;Vapo;MF30101V2;12;8600;4.6;20;
Sunon;Axial fan;4010;Vapo;MF40101VX;12;8500;9.9;31;
Sunon;Axial fan;4010;Vapo;MF40101V1;12;7000;8;27;
Sunon;Axial fan;4010;Vapo;MF40101V2;12;5800;7;20.6;
Sunon;Axial fan;4010;2ball;EF40101BX;12;9000;10;33.7;
Sunon;Axial fan;4010;2ball;EF40101B1;12;7000;8;27.3;
Sunon;Axial fan;4010;2ball;EF40101B2;12;5000;5.5;17.7;
Sunon;Axial fan;4010;Sleeve;EE40101S1;12;7300;8.2;28.2;
Sunon;Axial fan;4010;Sleeve;EE40101S2;12;6100;7.1;23;
Sunon;Blower fan;5015;2ball;MF50151VX;12;6200;5.4;42.2;
Sunon;Blower fan;5015;2ball;MF50151V1;12;5200;4.5;39.6;
Sunon;Blower fan;5015;2ball;MF50151V2;12;4200;3.5;32.6;
Sunon;Blower fan;5015;2ball;MF50151V3;12;3200;2.7;23.2;
